# Fold 0
   5 Bases: [0.18037974683544303, 0.11428571428571428]
   10 Bases: [0.17088607594936708, 0.11428571428571428]
   15 Bases: [0.18037974683544303, 0.11428571428571428]
   20 Bases: [0.18037974683544303, 0.11428571428571428]
   25 Bases: [0.17405063291139242, 0.11428571428571428]
   30 Bases: [0.18037974683544303, 0.11428571428571428]
   35 Bases: [0.17721518987341772, 0.11428571428571428]
   40 Bases: [0.17721518987341772, 0.11428571428571428]
   45 Bases: [0.18037974683544303, 0.11428571428571428]
   50 Bases: [0.18037974683544303, 0.11428571428571428]
# Fold 1
   5 Bases: [0.15822784810126583, 0.2571428571428571]
   10 Bases: [0.15822784810126583, 0.2571428571428571]
   15 Bases: [0.15822784810126583, 0.2571428571428571]
   20 Bases: [0.15822784810126583, 0.2571428571428571]
   25 Bases: [0.15822784810126583, 0.2571428571428571]
   30 Bases: [0.15822784810126583, 0.2571428571428571]
   35 Bases: [0.15822784810126583, 0.2571428571428571]
   40 Bases: [0.15822784810126583, 0.2571428571428571]
   45 Bases: [0.15822784810126583, 0.2571428571428571]
   50 Bases: [0.15822784810126583, 0.2571428571428571]
# Fold 2
   5 Bases: [0.17405063291139242, 0.17142857142857143]
   10 Bases: [0.16139240506329114, 0.17142857142857143]
   15 Bases: [0.16772151898734178, 0.17142857142857143]
   20 Bases: [0.16139240506329114, 0.17142857142857143]
   25 Bases: [0.16139240506329114, 0.17142857142857143]
   30 Bases: [0.17088607594936708, 0.17142857142857143]
   35 Bases: [0.16772151898734178, 0.17142857142857143]
   40 Bases: [0.17405063291139242, 0.17142857142857143]
   45 Bases: [0.16139240506329114, 0.17142857142857143]
   50 Bases: [0.16139240506329114, 0.17142857142857143]
# Fold 3
   5 Bases: [0.15822784810126583, 0.2571428571428571]
   10 Bases: [0.1550632911392405, 0.2571428571428571]
   15 Bases: [0.15822784810126583, 0.2571428571428571]
   20 Bases: [0.16139240506329114, 0.2571428571428571]
   25 Bases: [0.15822784810126583, 0.2571428571428571]
   30 Bases: [0.1550632911392405, 0.2571428571428571]
   35 Bases: [0.15822784810126583, 0.2571428571428571]
   40 Bases: [0.15822784810126583, 0.2571428571428571]
   45 Bases: [0.15822784810126583, 0.2571428571428571]
   50 Bases: [0.15822784810126583, 0.2571428571428571]
# Fold 4
   5 Bases: [0.1518987341772152, 0.3142857142857143]
   10 Bases: [0.1550632911392405, 0.34285714285714286]
   15 Bases: [0.14873417721518986, 0.3142857142857143]
   20 Bases: [0.1550632911392405, 0.34285714285714286]
   25 Bases: [0.1550632911392405, 0.34285714285714286]
   30 Bases: [0.1550632911392405, 0.34285714285714286]
   35 Bases: [0.1550632911392405, 0.34285714285714286]
   40 Bases: [0.1550632911392405, 0.34285714285714286]
   45 Bases: [0.1550632911392405, 0.34285714285714286]
   50 Bases: [0.1550632911392405, 0.34285714285714286]
# Fold 5
   5 Bases: [0.17405063291139242, 0.17142857142857143]
   10 Bases: [0.17405063291139242, 0.17142857142857143]
   15 Bases: [0.17405063291139242, 0.14285714285714285]
   20 Bases: [0.17405063291139242, 0.14285714285714285]
   25 Bases: [0.17405063291139242, 0.17142857142857143]
   30 Bases: [0.17405063291139242, 0.17142857142857143]
   35 Bases: [0.17088607594936708, 0.14285714285714285]
   40 Bases: [0.17405063291139242, 0.17142857142857143]
   45 Bases: [0.17405063291139242, 0.17142857142857143]
   50 Bases: [0.17405063291139242, 0.17142857142857143]
# Fold 6
   5 Bases: [0.18670886075949367, 0.2857142857142857]
   10 Bases: [0.17405063291139242, 0.11428571428571428]
   15 Bases: [0.16455696202531644, 0.11428571428571428]
   20 Bases: [0.16772151898734178, 0.11428571428571428]
   25 Bases: [0.16772151898734178, 0.11428571428571428]
   30 Bases: [0.1550632911392405, 0.2]
   35 Bases: [0.16772151898734178, 0.11428571428571428]
   40 Bases: [0.17405063291139242, 0.11428571428571428]
   45 Bases: [0.16772151898734178, 0.11428571428571428]
   50 Bases: [0.16455696202531644, 0.11428571428571428]
# Fold 7
   5 Bases: [0.18354430379746836, 0.08571428571428572]
   10 Bases: [0.17405063291139242, 0.05714285714285714]
   15 Bases: [0.17721518987341772, 0.05714285714285714]
   20 Bases: [0.17405063291139242, 0.05714285714285714]
   25 Bases: [0.18354430379746836, 0.08571428571428572]
   30 Bases: [0.17405063291139242, 0.05714285714285714]
   35 Bases: [0.17721518987341772, 0.05714285714285714]
   40 Bases: [0.18037974683544303, 0.05714285714285714]
   45 Bases: [0.18354430379746836, 0.08571428571428572]
   50 Bases: [0.18354430379746836, 0.08571428571428572]
# Fold 8
   5 Bases: [0.17405063291139242, 0.11428571428571428]
   10 Bases: [0.16772151898734178, 0.11428571428571428]
   15 Bases: [0.17088607594936708, 0.11428571428571428]
   20 Bases: [0.18037974683544303, 0.11428571428571428]
   25 Bases: [0.18037974683544303, 0.11428571428571428]
   30 Bases: [0.16772151898734178, 0.11428571428571428]
   35 Bases: [0.17721518987341772, 0.11428571428571428]
   40 Bases: [0.18037974683544303, 0.11428571428571428]
   45 Bases: [0.17721518987341772, 0.11428571428571428]
   50 Bases: [0.18037974683544303, 0.11428571428571428]
# Fold 9
   5 Bases: [0.17405063291139242, 0.17142857142857143]
   10 Bases: [0.16772151898734178, 0.17142857142857143]
   15 Bases: [0.16455696202531644, 0.17142857142857143]
   20 Bases: [0.17088607594936708, 0.17142857142857143]
   25 Bases: [0.17405063291139242, 0.17142857142857143]
   30 Bases: [0.16455696202531644, 0.17142857142857143]
   35 Bases: [0.17088607594936708, 0.17142857142857143]
