# Fold 0
   1 random features: [0.25, 0.2571428571428571]
   2 random features: [0.25, 0.2571428571428571]
   3 random features: [0.29430379746835444, 0.34285714285714286]
   4 random features: [0.27848101265822783, 0.2571428571428571]
   5 random features: [0.2721518987341772, 0.2857142857142857]
   6 random features: [0.2626582278481013, 0.37142857142857144]
   7 random features: [0.25949367088607594, 0.2857142857142857]
   8 random features: [0.2721518987341772, 0.2571428571428571]
   9 random features: [0.29430379746835444, 0.4]
   10 random features: [0.2974683544303797, 0.37142857142857144]
   11 random features: [0.3227848101265823, 0.4]
   12 random features: [0.29430379746835444, 0.34285714285714286]
   13 random features: [0.29430379746835444, 0.34285714285714286]
   14 random features: [0.34810126582278483, 0.4]
   15 random features: [0.3259493670886076, 0.4]
   16 random features: [0.29430379746835444, 0.34285714285714286]
   17 random features: [0.3227848101265823, 0.4]
   18 random features: [0.31329113924050633, 0.4]
   19 random features: [0.2689873417721519, 0.34285714285714286]
   20 random features: [0.26582278481012656, 0.4]
   21 random features: [0.310126582278481, 0.4]
   22 random features: [0.3069620253164557, 0.4]
   23 random features: [0.22468354430379747, 0.34285714285714286]
   24 random features: [0.2689873417721519, 0.4]
   25 random features: [0.29430379746835444, 0.4]
   26 random features: [0.2088607594936709, 0.34285714285714286]
   27 random features: [0.2120253164556962, 0.34285714285714286]
   28 random features: [0.2120253164556962, 0.34285714285714286]
   29 random features: [0.1962025316455696, 0.34285714285714286]
   30 random features: [0.16139240506329114, 0.2857142857142857]
   31 random features: [0.16139240506329114, 0.2857142857142857]
   32 random features: [0.16139240506329114, 0.2857142857142857]
   33 random features: [0.16139240506329114, 0.2857142857142857]
   34 random features: [0.16139240506329114, 0.2857142857142857]
# Fold 1
   1 random features: [0.2563291139240506, 0.2]
   2 random features: [0.2563291139240506, 0.2]
   3 random features: [0.3069620253164557, 0.22857142857142856]
   4 random features: [0.2848101265822785, 0.2]
   5 random features: [0.2911392405063291, 0.22857142857142856]
   6 random features: [0.2563291139240506, 0.2]
   7 random features: [0.310126582278481, 0.22857142857142856]
   8 random features: [0.30063291139240506, 0.22857142857142856]
   9 random features: [0.2911392405063291, 0.22857142857142856]
   10 random features: [0.3670886075949367, 0.2857142857142857]
   11 random features: [0.3069620253164557, 0.22857142857142856]
   12 random features: [0.31329113924050633, 0.22857142857142856]
   13 random features: [0.34810126582278483, 0.2857142857142857]
   14 random features: [0.3069620253164557, 0.22857142857142856]
   15 random features: [0.3069620253164557, 0.22857142857142856]
   16 random features: [0.310126582278481, 0.22857142857142856]
   17 random features: [0.27848101265822783, 0.22857142857142856]
   18 random features: [0.3037974683544304, 0.2571428571428571]
   19 random features: [0.29430379746835444, 0.2571428571428571]
   20 random features: [0.30063291139240506, 0.2571428571428571]
   21 random features: [0.30063291139240506, 0.2571428571428571]
   22 random features: [0.2911392405063291, 0.2571428571428571]
   23 random features: [0.29430379746835444, 0.2571428571428571]
   24 random features: [0.27848101265822783, 0.2571428571428571]
